Post_URL,Comments,Retweets,Likes,Views,Bookmarks,Account Followers,Flagged,Video,Username,Display Name,Account Name,Tweet Text,Replies,Timestamp,Has Video,Has Image,Has Media,Followers,Account Created,Is Retweet,Language,Scraped At,Status
https://x.com/SilentlySirs/status/1856069160410984877,,0,8,1880,0,,,,TNK1188150,QueeN StaR News,QueeN StaR News,ฝูงบินขับไล่ของ #อิสราเอล กำลังเดินทางกลับจาก#อิหร่าน หลังจากทำลายระบบป้องกันภัยทางอากาศและฐานทัพหลายแห่ง,0,2024-10-27T01:03:46.000Z,1,False,True,710,August 2024,False,,2025-11-19T13:18:39.747887,success
https://x.com/TNK1188150/status/1850342590862037233,,201,2247,837100,247,,,,EdyCohen,إيدي كوهين אדי כהן ,إيدي كوهين אדי כהן ,"حصريا على منصة كوهين
طائراتنا بعد عودتهم إلى البلاد فجر أمس بعد ما قصفوا رقبة ملالي طهران.",2296,2024-10-26T19:58:38.000Z,1,False,True,943200,October 2012,False,,2025-11-19T13:18:55.933617,success
https://x.com/EdyCohen/status/1850265803062427765,,,,,,,,,dediapmin,Indonesian  Israel,Indonesian  Israel,,,,0,False,False,2122,July 2011,False,,2025-11-19T13:19:12.744307,success
https://x.com/dediapmin/status/1850215842392502298,,897,6024,859500,347,,,,DavidM_Friedman,David M Friedman,David M Friedman,Israel fighter jet squadrons all returning home from Iran after destroying its air defense systems and several military installations. Kol Hakavod!,791,2024-10-26T16:33:21.000Z,1,False,True,85000,January 2021,False,,2025-11-19T13:19:43.117502,success
https://x.com/DavidM_Friedman/status/1850214140977008660,,103,384,25400,15,,,,SoftWarNews,SW News - SOFT WAR NEWS,SW News - SOFT WAR NEWS,"VIDEO momen operasi (Truk) seruduk terhadap puluhan pasukan Israel di dekat markas besar Mossad 8200, Gliot, Tel Aviv",20,2024-10-27T22:10:24.000Z,1,False,True,122700,December 2013,False,,2025-11-19T13:19:58.376877,success
https://x.com/SoftWarNews/status/1850661351880118390,,0,2,506,1,,,,Eka_Dutajaladri,EKA,EKA,Operasi heroik pejuang Hamas dengan mengemudikan truck kencang ditabrakkan ke sekumpulan tentara Zionis Israel yang sedang berbaris menunggu naik bus dan tentara Zionis Israel lainnya yang sedang berbaris kocak kacir lari ketakutan,1,2024-10-27T13:47:51.000Z,1,False,True,14800,February 2010,False,,2025-11-19T13:20:15.025351,success
https://x.com/Eka_Dutajaladri/status/1850534880771494218,,596,2530,169700,52,,,,yo2thok,Z Operation,Z Operation," Detik-detik serangan ""Truk Kamikaze"" di depan markas Mossad dan Unit 8200 di utara Tel Aviv.

Dalam serangan tersebut setidaknya lima tentara tewas, dan 50 lainnya luka-luka, dengan setidaknya 10 orang dalam kondisi kritis.",50,2024-10-27T14:22:44.000Z,1,False,True,65800,February 2012,False,,2025-11-19T13:20:28.632248,success
https://x.com/yo2thok/status/1850543658644459700,,2,7,82,0,,,,AppySanchaniya,धरती पुत्र,धरती पुत्र,"सऊदी अरब का एक शेख नेतन्याहू को शिया हिजबुल्ला आतंकियों के सफाए के लिए दुवाएं दे रहा है।
भारत के नकली मुसलमान इजरायल के खिलाफ नारे लगाए जा रहे हैं।",0,2024-10-21T12:45:39.000Z,1,False,True,3815,October 2021,False,,2025-11-19T13:20:43.742437,success
https://x.com/AppySanchaniya/status/1848344899264852479,,3576,14725,819200,879,,,,DilipKu24388061,Dilip Kumar Singh,Dilip Kumar Singh,"लिल्लाह

इजराइल ने एक आतंकवादी की लाश में टाइम बम्ब रख कर वापिस फिलस्तीनयों को दे दी, रिजल्ट आप के सामने है।।

बहुत ही जोरदार काम किया इजरायल ने,,,
एक के बदले 20 फ्री में भेज दिया अल्लाह को ",831,2024-08-28T16:05:58.000Z,1,False,True,13700,June 2019,False,,2025-11-19T13:20:58.356273,success
https://x.com/DilipKu24388061/status/1828826367720661495,,3398,14199,735800,223,,,,DhruvRathenx,Dhruv Rathee Satire,Dhruv Rathee Satire,"ईरान ने 30 इजरायली F-35 लड़ाकू विमानों को सफलतापूर्वक नष्ट कर दिया है।

इन जेट विमानों का इस्तेमाल 40,000 बच्चों के नरसंहार के लिए किया गया था।",976,2024-10-02T07:43:10.000Z,1,False,True,110800,October 2020,False,,2025-11-19T13:21:12.815015,success
